q09	669018229809.714	76794323884.6074
q21	587085258765.5	255880504431.767
q18	415307171693.786	43633384367.5275
q07	383722632099.071	40950740288.6264
q17	375320662706.429	39979715351.7403
q08	326766944658.714	46612908111.1473
q05	295221349209.429	72512281462.5718
q19	281677705598.786	117836253295.723
q20	252202490767.929	36378763677.2496
q03	225560300506.429	42860361679.1287
q10	212716925827.929	13816415722.5276
q04	203298174897.929	23223632961.1249
q12	178970593860.429	9305973299.60299
q15	148889933969.692	12701166899.0706
q01	147166528052	24453048363.4662
q22	131774087578.857	25976236153.7456
q16	127857102707.786	15671432061.7466
q02	126447775637.643	26330474088.39
q13	109736495214.286	18877755284.135
q11	108562494373.786	22660445307.7496
q06	105476161231.5	10238039278.345
q14	71044076655.9286	34871067906.2088
