q09	130404256620.107	12589610016.4236
q21	119423203473.911	51315607601.5423
q18	86809947937.5714	8373748935.88568
q07	82976276527.6696	9239451536.57
q17	76722777821.9286	6748144379.603
q08	69294023183.2857	7862502200.7395
q05	63552076778.625	13539903005.1114
q20	59722540328.5179	7961527954.96397
q19	52453840042.1071	17262139390.3965
q10	51239659755.5714	3498372078.39926
q03	50269007225.5714	9316973360.77166
q04	44532766223.7321	4616539387.09383
q12	36740151052.8929	2103348036.5812
q15	36243851022.8654	3375274339.76265
q22	32715766112.2143	6718160849.24275
q02	32082692496.8214	6473451745.81451
q01	31307533105.0893	5765392296.65267
q16	30009522839.0893	4214796761.14449
q11	27611428091.3393	5380996095.90368
q13	23708713543.4821	4533747420.49119
q06	23502149677	2351425275.21037
q14	14446084633.75	5989722961.10505
